Unique ID,Borough,Geographic School District,Program Type,Program Name,Program Address,Program Zip,Program Phone,"Program Options (Half-Day, Full-Day)","Program Has Income Eligibility Requirements (Yes, No) CBECC Only",New Program for September 2014?,Program Grade Span Public School and Charter School Only,2014-2015 Total Pre-K Seats
01M015,M,01,Public DOE School,P.S. 015 Roberto Clemente,333 East 4 Street,10009,212-228-8730,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M019,M,01,Public DOE School,P.S. 019 Asher Levy,185 1 Avenue,10003,212-533-5340,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M020,M,01,Public DOE School,P.S. 020 Anna Silver,166 Essex Street,10002,212-254-9577,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
01M034,M,01,Public DOE School,P.S. 034 Franklin D. Roosevelt,730 East 12 Street,10009,212-228-4433,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",18
01M063,M,01,Public DOE School,The STAR Academy - P.S.63,121 East 3 Street,10009,212-674-3180,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M064,M,01,Public DOE School,P.S. 064 Robert Simon,600 East 6 Street,10009,212-673-6510,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M110,M,01,Public DOE School,P.S. 110 Florence Nightingale,285 Delancy Street,10002,212-674-2690,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M134,M,01,Public DOE School,P.S. 134 Henrietta Szold,293 East Broadway,10002,212-673-4470,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M137,M,01,Public DOE School,P.S. 137 John L. Bernstein,293 East Broadway,10002,646-602-2140,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
01M140,M,01,Public DOE School,P.S. 140 Nathan Straus,123 Ridge Street,10002,212-677-4680,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",18
01M142,M,01,Public DOE School,P.S. 142 Amalia Castro,100 Attorney Street,10002,212-598-3800,Full Day,N/A,,"PK,0K,01,02,03,04,05",30
01M184,M,01,Public DOE School,P.S. 184m Shuang Wen,327 Cherry Street,10002,212-602-9700,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
01M188,M,01,Public DOE School,P.S. 188 The Island School,442 East Houston Street,10002,212-677-5710,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
01M315,M,01,Public DOE School,The East Village Community School,610 East 12 Street,10009,212-982-0682,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M361,M,01,Public DOE School,The Children's Workshop School,610 East 12 Street,10009,212-614-9531,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
01M363,M,01,Public DOE School,Neighborhood School,121 East 3 Street,10009,212-387-0195,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
01M364,M,01,Public DOE School,Earth School,600 East 6 Street,10009,212-477-1735,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
02M001,M,02,Public DOE School,P.S. 001 Alfred E. Smith,8 Henry Street,10038,212-267-4133,Full Day,N/A,,"PK,0K,01,02,03,04,05",72
